id,author_first_name,author_last_name,book_title,genre
140a3d7e-a417-4c2b-96fe-32f9a2732693,Kennan,Stowers,Tarzan's Magic Fountain,Action|Adventure|Fantasy|Romance
b4eb8f48-2bbb-46bf-b836-017f9372c463,Tripp,Wiltshier,Possession,Drama|Horror|Mystery|Romance|Thriller
ac6644b2-9da8-439d-8d43-b27418acbc1e,Charlie,Bissell,"Best of Everything, The",Drama|Romance
273ddc90-fff0-4e29-a75c-39cb09cfff8e,Whitby,McAtamney,Vamps,Comedy|Horror|Romance
ca2c0609-3e1d-4bac-a79c-d1ee0f9e7555,Aline,Founds,"Day of the Beast, The (Día de la Bestia, El)",Adventure|Comedy|Thriller
d2678f78-1cdc-4113-b335-e6bbf8a95449,Robby,Feather,"Turkish Dance, Ella Lola",(no genres listed)
e874c101-7ecb-4d13-a363-0a7f06d4313f,Dani,Garrish,Lust for Love,Comedy|Romance
2aaf3991-b161-480d-85a0-56663e34e51a,Devy,Schouthede,"Fitzgerald Family Christmas, The",Drama
6e91dd83-91de-40d7-b755-e100da72f8db,Thedrick,Simonnin,Hellraiser: Deader,Horror
615ff2df-d4fc-4818-8a7c-034b853128a6,Legra,Laslett,Sink the Bismark!,Action|Drama|War
5f7b55c1-58c7-4e99-82d4-030a62c8de0c,Magdaia,Surgood,Gunless,Action|Comedy|Drama|Western
c11b25bb-711f-4537-b5d4-cea7b046f42b,Geoffry,Milkin,State Fair,Comedy|Drama|Romance
916c8516-4c29-4146-b295-e02380a4e44f,Maxine,Figge,Duck Soup,Comedy|Musical|War
f23dfac0-7780-4ff6-b159-3881916d6954,Erek,Mountfort,Swing,Comedy|Drama|Musical
16faecce-20ae-4384-850a-50787fe4a84a,Gill,Marnane,"Foul King, The (Banchikwang)",Comedy
3e73bbba-f36e-4ede-beff-74fefcf178d7,Judi,Lempel,New Scenes from America,Documentary
083a21b4-4214-479d-8388-1737e56583a9,Dinnie,Tomenson,"Time to Live, a Time to Die, A (Tong nien wang shi)",Drama
e578b06e-66e9-413a-b0e2-d387d00c907d,Lily,Antonutti,"Blacksmith, The",Comedy
10013066-8fae-4b91-9486-999aac5e84b7,Demeter,Branchet,Buried Alive,Film-Noir|Horror|Thriller
352ed6ef-8397-48cf-8b8e-434e23eddef8,Aileen,Clearley,Grande école,Drama
ddcf3a39-a3b5-4596-a5a8-cafcfda3843c,Lesly,Biner,Relentless,Thriller
2dbf98ab-502e-44a7-8244-d04ff67638a8,Madelyn,Tackell,"Stars Look Down, The",Drama
c3d57ba5-be85-4651-83e0-6512bf40f260,Cecilio,Hallut,"Lady in Red, The",Action
2941b9c1-ff84-4239-aea2-9936014ddac4,Dionne,Shaxby,Adios Carmen,Drama
4eac9c61-0760-4df2-9aea-5fe5a3e5488f,Gamaliel,Andrews,Garage Days,Comedy|Musical
0aac5842-f2cc-4cc2-96f3-d9ad121b108d,Scarlet,Chetwind,Thumbsucker,Comedy|Drama
f8ab6377-4db8-4356-92d5-6ad22196b07e,Darla,Pinnocke,Blind Pig Who Wants to Fly (Babi buta yang ingin terbang),Drama
